"Actual","Predicted"
3.805,2.96276106262452
0,0.862747390028011
3.171,3.30612484329123
2.782,2.74431641241351
0,0.0113212
4.51,3.04483434158042
3.468,3.11515686011288
0,2.08673388019086
0,0.4464874
4.237,4.06703685685826
0,0.031306
4.984,4.82300871533163
2.206,2.86962235467544
3.473,3.04333297313316
0,1.44362709355882
3.085,3.55960467746884
0,1.86024708621379
0,0.3085374
4.818,4.30227706646824
0,0.0968892333333333
0,0.125775866666667
1.953,1.67469836209829
4.476,3.34563137046134
2.4,2.5682013842175
0,0.0270829
3.422,2.8713379147564
4.644,3.36229543814563
4.656,0.459813460317461
1.635,1.79901012348624
3.919,4.24256625218057
2.902,3.16850969929161
4.672,4.32922075170694
4.302,3.94994961857995
3.288,3.35404020646985
0,0.0320229333333333
1.545,2.09775914416903
0,0.0437264
3.425,3.27507271877157
4.107,4.02355546412417
3.784,3.62437410896853
3.022,2.53914104389123
3.808,3.16140912974459
0,1.99385233333333
4.565,4.66925831406277
1.568,1.69946885232454
4.724,4.28853529302315
0,0.0501446666666667
2.732,2.89755444526541
2.02,2.21660223528545
3.369,3.22067380019635
2.27,1.98118074482532
2.513,2.34301766743973
3.664,3.87686687563515
2.753,2.40701863329011
2.281,2.39026344489266
0,0.2556872
0,0.192069423809524
3.387,3.15664216205566
0,1.01186858052943
0,0.682797649671593
0,0.238452
3.089,2.45945140022914
0,0.324512816583597
4.151,3.43327573659828
0,0.1901148
2.953,2.85885923762611
0,0.0772546
2.903,3.44796933189152
3.823,3.47394600588452
3.559,3.44511219715284
0,1.55869312125636
3.801,3.43679539034814
4.929,4.50556147227307
2.391,2.85603390395476
3.441,3.55639610667796
3.429,4.18749652965175
1.678,1.82987281604103
0,1.69978650120594
2.519,2.69635838246644
4.582,3.55613685873016
3.506,3.50283544917688
2.392,1.60237185327792
3.606,3.05111938248418
1.77,2.65107724070219
4.719,4.19967305776557
0,0.92053897898914
0,1.78876394725567
1.871,1.85207734254882
3.194,2.99963161058996
0,1.66752893648795
0,0.420552627777778
1.923,1.86556945683408
3.624,3.64547934066051
2.677,2.56336404073078
2.992,1.99061902910913
3.567,3.81993302071834
3.832,3.74423551987134
3.976,3.87066561949745
4.638,4.35840777008301
4.738,4.69520121959165
0,0.426803966666667
0,0.298940259307359
0,1.21091080952381
3.928,3.93073568032339
3.674,3.56624710148603
0,0.690446278294574
4.215,4.14655540187987
2.987,2.51071454415768
3.396,3.24589888042216
0,0.395008755555556
4.132,3.97757573649992
2.527,2.20747686831668
3.182,2.90670613139044
4.223,4.36141155345654
3.306,3.33909267193415
0,0.243290648484848
1.226,1.38395372924557
0,0.0676505142857143
2.692,2.76546779376337
2.404,2.60439848564077
0,1.48039643126708
0,1.63590755816181
4.181,4.18053532044942
2.853,2.62215010652711
4.942,3.65939497669737
4.805,4.73827895905833
0,0.356380417216643
1.897,3.16078850634277
0,0.3136634
0,0.882973115151515
2.465,1.89031737926377
2.755,2.82625122635779
0,0.706696748717949
2.909,2.68956681879243
1.47,1.89969719432614
3.367,2.96970381378843
2.675,2.68809511922718
2.16,2.24433489972565
3.209,3.39171214324259
3.166,3.64712960760829
0,0.220937744444444
0,3.04014162901694
2.961,2.10161714439449
0,1.95888700684356
2.112,2.05045095086094
2.586,2.1911484188691
0,0.587231533333333
2.231,3.28677043847301
0,0.595637163203463
2.202,2.23426742573152
0,0.559582982539683
0,0.192039957142857
4.4,4.41443455533813
0,0.89520895115174
1.155,1.9082987784386
0,0.344366871794872
1.299,1.82728459946592
2.862,3.74181479325593
0,0.744443059022556
3.903,4.14927494549384
4.768,2.27462368571428
3.051,2.01806586631029
2.915,3.49254463759524
3.351,3.16857773854718
0,0.1589429
4.756,4.32488234220496
2.921,3.11584489504652
4.243,3.18161260167213
0,0.750907436722729
4.711,4.26452179750379
2.576,2.78343125404994
0,0.200869771794872
3.63,3.07969268382834
1.675,2.77148333922148
2.998,3.30915482298063
0,1.89044104778
3.224,2.68235762376923
3.651,3.13357766119593
0,0.138991433333333
0,0.47127433956044
4.016,3.97088970835427
2.98,3.01241466368058
3.059,3.64637096732339
0,0.0599765333333333
4.586,1.99219456507936
2.373,2.32512534397647
2.456,2.63212023086191
2.772,2.97405165113981
1.564,1.60250485970907
2.498,2.67685008874874
0,0.340201006060606
3.427,2.75605460450164
0,1.1737038
0,0.1804242
4.713,3.74616768598963
4.323,3.69852007146187
0,1.76944511725969
2.221,2.11261346176655
4.879,4.57653717324883
4.266,4.40689032769533
0,0.0378295
3.952,2.7207518516731
1.428,1.85784404054987
2.877,3.08163645055172
0,1.18802990183975
2.625,2.80680551501788
0,0.0572033333333333
1.278,1.19333284179082
0,0.610301959014701
