"Actual","Predicted"
2.388,3.05951207419446
4.825,2.15170769876932
2.088,2.73344797340971
2.391,3.22031004035292
2.822,2.52571782461236
3.989,2.49256602143449
3.658,2.4950218302136
1.768,2.36137682595834
4.852,2.50097054561346
3.559,2.84849615699937
0,1.96471763094275
3.768,3.31964912288781
2.781,2.38923451325035
0,2.39926806007654
0,2.53593559268816
4.961,2.5558362867397
4.145,2.25687699568608
0,2.17341424870446
3.264,2.87950974795561
0,3.1040905270737
3.702,1.57681455542686
2.267,2.62177911852652
2.779,3.08628813478656
2.366,2.91316228336595
4.426,2.42943927207703
4.359,2.46726788749935
4.695,2.03906908757716
1.584,2.42980411223196
2.424,3.07394401229586
3.585,2.02896705498944
4.824,2.74630676363744
2.666,2.57429876832845
2.255,3.38605797642284
4.363,2.05312996312764
0,2.67411964775724
4.787,2.42574928195254
4.355,2.39820457342386
2.773,2.59456516646393
0,2.36788774155906
4.647,2.35425912517996
4.176,2.4561439911551
4.727,2.09982630064594
2.349,2.57517044036234
4.251,2.48576042618833
3.815,2.46452937591278
0,1.96725700145292
2.377,2.31091719551038
2.085,2.53142016333171
2.606,2.99753342226197
3.576,2.40508221430519
0,1.54482043368052
0,1.34632187925154
0,2.48919838028324
0,2.53996892374562
4.219,1.96366358608672
4.679,1.97948208704227
1.427,2.7185391723836
1.932,2.77311936249189
2.138,2.69345145069256
0,1.72965738399218
4.053,2.373448476572
2.999,2.83073264745488
0,-0.18155784475454
4.29,2.95459132038245
0,2.51439204793926
2.23,2.46166394083788
2.719,2.57222982972868
0,2.39025841188517
3.731,2.26095919055329
3.029,2.42755028753124
4.19,2.04265647222475
3.73,2.62062598031725
2.4,2.39046060876545
0,2.5478517010308
4.218,2.26635457116011
0,0.178349530732193
3.373,2.43022217485171
4.774,2.15932229565076
3.511,3.18217576955989
4.68,2.54049786126714
0,1.83956339945363
1.616,2.52561736448826
3.38,2.89160255977679
0,2.08847216225421
0,2.34479291818212
0,2.13380761480715
0,2.44255656951097
3.625,2.87205969821201
0,1.32192654040482
0,1.75601275981317
1.678,2.46904946571306
4.604,2.94315874975418
2.748,2.35111939562173
0,2.6411383809446
0,2.20778739220775
2.392,2.77202475607748
3.165,2.19932272406473
0,2.18082885844291
3.153,2.48426360237349
3.03,2.53191597353962
2.673,2.47279170988914
0,2.09241602615546
0,2.95449145037553
4.157,2.65412538136168
4.241,3.21695972799821
3.648,2.17412764846463
2.136,2.41234771260459
0,1.2927399847872
0,2.33775141867444
3.196,2.45154558229086
3.985,2.11259581307587
0,1.93501077452242
4.826,2.4241546272371
4.954,2.03826430639108
0,2.07855394176626
3.883,2.47506261981762
2.529,1.85595073202189
3.166,2.75797200434632
4.061,2.48952225109528
3.218,2.42692281244816
4.059,2.41463723543345
0,1.9448325883114
0,2.25175728237879
0,2.35644043959964
2.75,2.90550583768045
2.772,2.21775001152571
0,2.04826578882989
1.785,2.72164164542272
0,2.02340646514345
2.043,2.38209509079971
0,1.91642757331151
3.301,2.51690053951754
4.7,2.25623978287161
3.079,2.6092180420585
4.761,2.49388195620531
3.731,2.45656649921426
3.436,2.99892705722831
0,2.71941047332229
4.029,2.17795633983992
3.903,2.53151903217862
0,1.96029190823873
4.77,2.65569462916486
0,1.38179292072276
4.01,2.41242912200851
3.974,0.873362970316437
4.843,2.53196646344897
0,2.42594275963597
3.305,2.14159053310354
3.13,2.42255178060039
3.684,2.85019269717671
1.294,2.05779878000322
2.071,2.47764312887173
3.332,2.57789969151865
2.378,2.40404097455391
0,2.18890576053809
3.878,2.62537747265984
4.479,2.50989240418356
2.779,2.4785001005084
3.564,2.35180319324264
0,1.82928907733606
1.626,2.51061805877243
1.195,2.47584076918894
0,1.95954722289704
3.157,2.40413909953825
2.709,2.41285024209058
3.052,2.92049148571455
4.276,2.46329939060442
2.459,2.56661882300755
3.35,2.49305742965287
0,1.73273718389222
2.065,2.46298578085282
2.805,3.23030420268328
1.389,2.6362377527058
3.562,2.86651257264323
0,2.17725017086873
0,2.08036494749038
2.945,2.49881639931557
4.224,2.18138757940876
2.54,2.56071011933087
1.771,2.65521092840904
3.806,2.42197949320262
4.386,2.5656144021925
0,1.68446277087153
2.628,2.01362650739516
4.778,2.09145587901356
4.512,2.75988195063315
3.834,2.28081238405216
0,0.313785180920801
4.167,2.32915466767883
3.379,2.42029658881954
2.584,2.5567486249962
0,2.33978272019537
0,2.08344736463411
0,2.47338171990449
4.339,2.05312041135672
0,2.33962883310218
2.849,2.66313998335581
3.942,2.38852805661988
0,2.3421230002387
2.826,2.64369063229594
2.062,3.07004841138322
0,2.28669613944754
3.18,1.87865193677889
0,2.57106952374631
1.531,2.46006956077631
4.315,2.00669938364954
3.936,2.66541198931554
0,1.43359198185514
4.282,2.52087429792756
3.759,2.24514834488981
4.055,2.52579987175872
1.555,2.51224001694096
2.644,2.61578383708498
2.062,2.26323173668872
2.893,2.38567594620347
2.297,2.61714751776892
0,2.78197746573157
3.512,2.49418948868749
2.723,2.92633988727943
2.918,2.09730139828005
0,2.67209566099251
1.259,2.63141573195839
